Name,Symbol (Prod),Symbol USD,Custody,Liquidity,Env.,Type,Confirms,Precision,Deposit,Supported in NY,Price Precision,Quantity Precision
The Sandbox,SAND.ETH,SAND/USD,Yes,Yes,Prod/Cert,ERC20,1,18,Yes,No,8,8
SHIBA INU,SHIB.ETH,SHIB/USD,Yes,Yes,Prod,ERC20,1,18,Yes,No,12,0
Solana,SOL,SOL/USD,Yes,Yes,Prod,Base,1,9,Yes*,No,6,8
Storj,STORJ.ETH,STORJ/USD,Yes,No,Prod,ERC20,1,8,Yes,No,,
TrueUSD,TUSD.ETH,TUSD/USD,Yes,Yes,Prod,ERC20,1,18,Yes,No,8,8
Uniswap,UNI.ETH,UNI/USD,Yes,Yes,Prod/Cert,ERC20,1,18,Yes,No,7,8
USD Coin (Arbitrum),USDC.ARBITRUM,USDC.ARBITRUM/USD,Yes,No,Prod,ERC20,1,6,Yes,No,8,6
USD Coin,USDC.ETH,USDC.ETH/USD,Yes,Yes,Prod/Cert,ERC20,1,6,Yes,No,8,6
USD Coin (Fantom),USDC.FTM,USDC.FTM/USD,Yes,No,Prod,ERC20,1,6,Yes,No,8,6
USD Coin (Polygon),USDC.POLYGON,USDC.POLYGON/USD,Yes,No,Prod,ERC20,1,6,Yes,No,8,6
USD Coin (Solana),USDC.SOL,USDC.SOL/USD,Yes,No,Prod,Account,1,6,Yes,No,8,6
Paxos,USDP.ETH,USDP/USD,Yes,Yes,Prod,ERC20,1,18,Yes,Yes,8,8
Tether,USDT.ETH,USDT/USD,Yes,Yes,Prod/Cert,ERC20,1,6,Yes,No,8,6
Tether (Polygon),USDT.POLYGON,USDT.POLYGON/USD,Yes,No,Prod,ERC20,1,6,Yes,No,,
Tether (Solana),USDT.SOL,USDT.SOL/USD,Yes,No,Prod,Account,1,6,Yes,No,,
TerraUSD,UST,UST/USD,Yes,No,Prod/Cert,Base,1,6,Yes,No,,
Wrapped BTC,WBTC.ETH,WBTC/USD,Yes,Yes,Prod/Cert,ERC20,1,8,Yes,No,6,8
Wrapped ETH,WETH.ETH,WETH.ETH/USD,Yes,No,Prod,ERC20,1,18,Yes,No,,
Wrapped ETH (Polygon),WETH.POLYGON,WETH.POLYGON/USD,Yes,No,Prod,ERC20,1,18,Yes,No,,
NEM,XEM,XEM/USD,Yes,No,Prod/Cert,Base,1,6,Yes,No,,
Stellar,XLM,XLM/USD,Yes,Yes,Prod/Cert,Base,1,7,Yes,No,10,7
XRP,XRP,XRP/USD,Yes,Yes,Prod/Cert,Base,1,6,Yes,No,9,6
Tezos,XTZ,XTZ/USD,Yes,Yes,Prod,Base,1,6,Yes*,No,9,8
0x,ZRX.ETH,ZRX/USD,Yes,Yes,Prod,ERC20,1,18,Yes,No,9,8
GMO USD,ZUSD.ETH,ZUSD/USD,Yes,No,Prod/Cert,ERC20,1,6,Yes,Yes,,
